,,,,,,
Выручка,Девочка,Мальчик,Месяц,Температура,Дождь,День недели
6415,1,,1,-1.3,0,пн
8940,,1,1,-4.9,0,вт
5410,,1,1,0.8,0,ср
6275,1,,1,0.8,1,чт
6625,1,,1,-0.8,1,пт
6850,,1,1,-1.4,1,сб
8150,,1,1,-5.9,0,вс
6510,1,,1,-0.9,1,пн
7670,,1,1,-0.2,1,вт
6270,1,,1,-4.4,1,ср
4590,,1,1,-3.1,1,чт
5915,1,,1,-2.1,1,пт
7520,1,,1,-3.1,0,сб
6370,,1,1,-1.3,1,вс
5160,,1,1,-2.4,1,пн
6500,,1,2,-2.5,1,вт
7200,1,,2,-4.5,1,ср
6800,,1,2,-8.1,0,чт
5420,,1,2,-6,0,пт
6670,,1,2,0,0,вс
7540,1,,2,1.1,1,пн
4700,1,,2,-0.2,1,вт
6060,,1,2,0.8,1,ср
6230,,1,2,1.6,0,чт
5135,1,,2,0.4,0,пт
5050,1,,2,-0.8,1,сб
5600,,1,2,1.4,1,вс
5395,1,,2,0.7,1,пн
7585,1,,2,2.7,1,вт
6975,1,,2,3.4,0,ср
5500,,1,2,1.9,1,чт
5130,,1,2,-0.3,1,пт
7895,1,,2,1.1,1,сб
6475,1,,2,0.5,0,вс
7500,,1,2,1.9,0,пн
8820,,1,2,1.9,1,вт
6445,1,,2,-5.3,0,ср
8280,1,,2,2.8,0,чт
5750,,1,2,2,1,пт
5600,,1,2,0.7,0,сб
6260,1,,2,0.2,0,вс
5830,1,,2,0.6,0,пн
8160,,1,3,4.9,0,вт
8500,,1,3,1.4,0,ср
9160,1,,3,0.2,1,чт
5950,1,,3,1.5,1,пт
5750,,1,3,-1.9,0,сб
5700,,1,3,0.2,0,вс
5600,1,,3,-4,1,пн
6170,1,,3,-6.1,0,вт
5070,,1,3,-2.1,0,ср
5500,,1,3,-1.1,0,чт
6120,1,,3,0,1,пт
7880,1,,3,4.3,1,сб
5650,,1,3,4.2,0,вс
6010,,1,3,4.9,0,пн
8210,1,,3,7,0,вт
7520,,1,3,6.2,0,ср
6700,,1,3,7.4,0,чт
8330,,1,3,6.7,0,пт
5480,1,,3,2.4,1,сб
5010,1,,3,5.5,0,вс
5580,,1,3,8.6,0,пн
5790,,1,3,6.5,0,вт
6010,1,,3,6.8,0,ср
5780,1,,3,5.1,0,чт
5320,,1,3,7.2,1,пт
6600,,1,3,0,1,сб
6060,1,,3,-0.4,0,вс
6800,1,,3,3.7,1,пн
6475,1,,3,-3,1,вт
7360,,1,3,-0.1,1,ср
7200,,1,3,1.4,0,чт
6500,1,,4,2.4,0,пт
6940,1,,4,2,0,сб
8160,,1,4,2.3,0,вс
6020,,1,4,5.5,1,пн
5800,1,,4,2.3,1,вт
6200,1,,4,-0.9,1,ср
6640,,1,4,2.4,1,чт
4380,,1,4,8.3,1,пт
4550,0.5,0.5,4,8.8,0,сб
5600,1,,4,6.1,1,вс
6200,,1,4,7.5,0,пн
6410,,1,4,8,0,вт
6800,1,,4,9.7,0,ср
7670,,1,4,7.2,0,чт
6360,,1,4,5.4,1,пт
9070,1,,4,6.9,0,сб
7870,1,,4,8.1,0,вс
6345,1,,4,10.4,0,пн
7500,,1,4,12.5,0,вт
6300,,1,4,15.2,0,ср
6720,1,,4,12.7,0,чт
8310,1,,4,15.6,0,пт
7200,,1,4,9.9,0,сб
6500,,1,4,10.2,0,вс
6460,1,,4,5.3,1,пн
7180,1,,4,8,0,вт
6200,,1,4,2.4,1,ср
5890,,1,4,5.6,1,чт
5730,1,,4,5.6,1,пт
7300,1,,4,7.4,0,сб
5445,1,,5,7.9,0,вс
6240,,1,5,10.9,0,пн
6200,,1,5,7.5,0,вт
6250,,1,5,5.8,0,ср
6290,1,,5,10.3,0,чт
7500,1,,5,15.5,0,пт
8625,,1,5,18.7,0,сб
6400,,1,5,7.7,0,вс
4220,1,,5,9,0,пн
5830,1,,5,14.8,0,вт
7080,,1,5,16.6,1,ср
6040,0.25,0.75,5,10.7,1,чт
